"indicator","reportyear","FIPS","County_Name","County_FIPS","h20contam_d","h20contam_nr","h20contam_pct","h20contam_se_pct","h20contam_rse","h20contam_pctile","source","version","notes"
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037701304,"Los Angeles",6037,NA,NA,414.0633935,NA,NA,56.82022328,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037701402,"Los Angeles",6037,NA,NA,307.714662,NA,NA,67.15000642,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037701501,"Los Angeles",6037,NA,NA,307.714662,NA,NA,67.15000642,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037701502,"Los Angeles",6037,NA,NA,307.714662,NA,NA,67.15000642,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037701601,"Los Angeles",6037,NA,NA,408.7402508,NA,NA,57.25651225,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037701602,"Los Angeles",6037,NA,NA,307.714662,NA,NA,67.15000642,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037701701,"Los Angeles",6037,NA,NA,307.714662,NA,NA,67.15000642,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037701702,"Los Angeles",6037,NA,NA,307.714662,NA,NA,67.15000642,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037701801,"Los Angeles",6037,NA,NA,408.8666497,NA,NA,57.24368023,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037701802,"Los Angeles",6037,NA,NA,307.714662,NA,NA,67.15000642,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037701902,"Los Angeles",6037,NA,NA,337.5084269,NA,NA,64.55793661,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037702002,"Los Angeles",6037,NA,NA,307.714662,NA,NA,67.15000642,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037702102,"Los Angeles",6037,NA,NA,414.0710267,NA,NA,56.80739125,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037702201,"Los Angeles",6037,NA,NA,307.714662,NA,NA,67.15000642,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037702202,"Los Angeles",6037,NA,NA,412.011131,NA,NA,56.96137559,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037702300,"Los Angeles",6037,NA,NA,410.1486147,NA,NA,57.06403182,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037702400,"Los Angeles",6037,NA,NA,499.2069119,NA,NA,47.00372129,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037702501,"Los Angeles",6037,NA,NA,491.6366264,NA,NA,47.82497113,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037702502,"Los Angeles",6037,NA,NA,508.5680584,NA,NA,46.14397536,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037702600,"Los Angeles",6037,NA,NA,513.8607257,NA,NA,45.51520595,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037702700,"Los Angeles",6037,NA,NA,529.5981405,NA,NA,44.24483511,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037702801,"Los Angeles",6037,NA,NA,276.008057,NA,NA,71.76953676,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037702802,"Los Angeles",6037,NA,NA,511.7059537,NA,NA,45.61786218,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037702803,"Los Angeles",6037,NA,NA,588.4480772,NA,NA,37.59784422,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037702901,"Los Angeles",6037,NA,NA,495.4822235,NA,NA,47.20903375,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037703001,"Los Angeles",6037,NA,NA,616.5244197,NA,NA,34.24868472,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037703002,"Los Angeles",6037,NA,NA,672.4167888,NA,NA,20.78788656,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037703100,"Los Angeles",6037,NA,NA,582.1054896,NA,NA,38.76555883,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037703200,"Los Angeles",6037,NA,NA,575.7231613,NA,NA,39.3301681,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037800101,"Los Angeles",6037,NA,NA,417.0138307,NA,NA,56.62774285,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037800102,"Los Angeles",6037,NA,NA,419.8595056,NA,NA,56.26844604,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037800202,"Los Angeles",6037,NA,NA,225.7851911,NA,NA,81.38072629,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037800203,"Los Angeles",6037,NA,NA,423.4033101,NA,NA,56.0246375,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037800204,"Los Angeles",6037,NA,NA,513.6566129,NA,NA,45.54087001,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037800324,"Los Angeles",6037,NA,NA,225.7851911,NA,NA,81.38072629,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037800325,"Los Angeles",6037,NA,NA,343.378267,NA,NA,64.1986398,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037800326,"Los Angeles",6037,NA,NA,364.0769853,NA,NA,62.11985115,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037800327,"Los Angeles",6037,NA,NA,427.7136849,NA,NA,55.69100475,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037800328,"Los Angeles",6037,NA,NA,225.7851911,NA,NA,81.38072629,"CES_3.0_2017","Wed13Dec17",""
